id	row_type	owner_cluster	player_behavior	source_owners	defs	harmony_patches	bridge_contracts	rw16_touchpoints	rw14_touchpoints	hook_intent	primary_scenario	supporting_scenarios	required_passes	evidence_state	port_delta_state	last_evidence	open_questions	duplicate_guard	notes
DEF.Zombie_Jobs	def	core_zombie	Def-family Jobs must resolve and feed its owner scenario without missing references.	Defs/Zombie_Jobs.xml	Defs/Zombie_Jobs.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;SCENARIO_RUNTIME;SAVE_LOAD;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Kinds	def	core_zombie	Def-family Kinds must resolve and feed its owner scenario without missing references.	Defs/Zombie_Kinds.xml	Defs/Zombie_Kinds.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Letter	def	quests	Def-family Letter must resolve and feed its owner scenario without missing references.	Defs/Zombie_Letter.xml	Defs/Zombie_Letter.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;SCENARIO_RUNTIME;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_LifeStages	def	defs_assets	Def-family LifeStages must resolve and feed its owner scenario without missing references.	Defs/Zombie_LifeStages.xml	Defs/Zombie_LifeStages.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Maneuvers	def	defs_assets	Def-family Maneuvers must resolve and feed its owner scenario without missing references.	Defs/Zombie_Maneuvers.xml	Defs/Zombie_Maneuvers.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_MentalState	def	contamination	Def-family MentalState must resolve and feed its owner scenario without missing references.	Defs/Zombie_MentalState.xml	Defs/Zombie_MentalState.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;SCENARIO_RUNTIME;SAVE_LOAD;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Needs	def	contamination	Def-family Needs must resolve and feed its owner scenario without missing references.	Defs/Zombie_Needs.xml	Defs/Zombie_Needs.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;SCENARIO_RUNTIME;SAVE_LOAD;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Quests	def	quests	Def-family Quests must resolve and feed its owner scenario without missing references.	Defs/Zombie_Quests.xml	Defs/Zombie_Quests.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;SCENARIO_RUNTIME;SAVE_LOAD;VISUAL_UI;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Race	def	core_zombie	Def-family Race must resolve and feed its owner scenario without missing references.	Defs/Zombie_Race.xml	Defs/Zombie_Race.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Recipes	def	defs_assets	Def-family Recipes must resolve and feed its owner scenario without missing references.	Defs/Zombie_Recipes.xml	Defs/Zombie_Recipes.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Sounds	def	defs_assets	Def-family Sounds must resolve and feed its owner scenario without missing references.	Defs/Zombie_Sounds.xml	Defs/Zombie_Sounds.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;VISUAL_UI;CONTRACT_RUNTIME;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_ThingCategories	def	defs_assets	Def-family ThingCategories must resolve and feed its owner scenario without missing references.	Defs/Zombie_ThingCategories.xml	Defs/Zombie_ThingCategories.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Things	def	defs_assets	Def-family Things must resolve and feed its owner scenario without missing references.	Defs/Zombie_Things.xml	Defs/Zombie_Things.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;VISUAL_UI;CONTRACT_RUNTIME;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_ThinkTree	def	core_zombie	Def-family ThinkTree must resolve and feed its owner scenario without missing references.	Defs/Zombie_ThinkTree.xml	Defs/Zombie_ThinkTree.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Thoughts	def	defs_assets	Def-family Thoughts must resolve and feed its owner scenario without missing references.	Defs/Zombie_Thoughts.xml	Defs/Zombie_Thoughts.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_ToolCapacity	def	defs_assets	Def-family ToolCapacity must resolve and feed its owner scenario without missing references.	Defs/Zombie_ToolCapacity.xml	Defs/Zombie_ToolCapacity.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
DEF.Zombie_Workgivers	def	defs_assets	Def-family Workgivers must resolve and feed its owner scenario without missing references.	Defs/Zombie_Workgivers.xml	Defs/Zombie_Workgivers.xml	not_applicable	see owning scenario rows	DefDatabase;XML def inheritance;startup_support_state defResolution	not_applicable	Resolve and exercise this XML def family in its owning behavior.	S-Startup-ColdLoad	owner scenario varies by def family	SOURCE_AUDIT;DEF_RESOLUTION;LOG_CLEAN	contract_runtime	resolved	zombieland/startup_support_state defResolution;TEST_COVERAGE.md startup-support evidence	Periodic rerun after changing XML defs, graphics, sounds, asset bundles, or package refs.	Owns XML family resolution only; runtime behavior belongs to feature/scenario rows.	2026-05-31 startup_support_state defResolution loaded 154 active Zombieland-owned defs across 23 DefDatabase types with zero class/config/database errors; initialized 40 ThingDef graphics, 2 PawnKindDef body graphics, and 38 SoundDefs with zero errors. Runtime behavior remains owned by feature/scenario rows.
BRIDGE.Chainsaw	bridge_contract	bridge_tools	narrow contracts and scenario support mapped to J.BUILDINGS.ITEMS.	Source/BridgeTools/ZombielandBridgeTools.Chainsaw.cs	not_applicable	not_applicable	zombieland/chainsaw_equip_toggle;zombieland/chainsaw_slaughter_zombie	RimBridgeServer.Annotations ToolAttribute	not_applicable	Provide controlled evidence but avoid owning player behavior directly.	J.BUILDINGS.ITEMS	J.BRIDGE.TOOLS	SOURCE_AUDIT;BRIDGE_TOOL_REVIEW;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	source_only	resolved	source bridge-tool attribute scan 2026-05-31;TEST_COVERAGE.md;scripts/coverage-inventory.sh --bridge-summary 2026-06-01	Reviewed classification; retain as evidence production only, and fold future one-off probes into generic primitives or named scenario fixtures when practical.	Bridge rows own evidence production only; feature/scenario rows own behavior.	Reviewed family with 7 tools covering chainsaw, thumper, shocker and crowd-pressure contracts.
BRIDGE.Anomaly	bridge_contract	bridge_tools	evidence helper mapped to E.HOSTILITY.TARGETING and C.CORE.ZOMBIE_LOOP for the official Anomaly creature/zombie matrix.	Source/BridgeTools/ZombielandBridgeTools.Anomaly.cs	not_applicable	not_applicable	zombieland/anomaly_zombie_matrix;zombieland/anomaly_policy_edges;zombieland/anomaly_engagement_matrix;zombieland/anomaly_story_smoke	RimBridgeServer.Annotations ToolAttribute;Anomaly PawnKindDef matrix;GenHostility activity and dormancy surfaces;CompNociosphere;Building_FleshmassHeart;PheromoneGrid tracking	not_applicable	Provide controlled Anomaly creature/state/settings matrix and full live engagement evidence without owning player behavior directly.	E.HOSTILITY.TARGETING;C.CORE.ZOMBIE_LOOP	J.BRIDGE.TOOLS;S-Hostility-Area-Workflow	SOURCE_AUDIT;BRIDGE_TOOL_REVIEW;CONTRACT_RUNTIME;LOG_CLEAN	contract_runtime	resolved_runtime	EV.RUNTIME.ANOMALY.ZOMBIE_MATRIX;EV.RUNTIME.ANOMALY.STORY_SMOKES;source bridge-tool attribute scan 2026-06-02	Retain the Anomaly tools for now; retire or fold them into broader fixtures once the matrix, engagement, and story-smoke evidence are preserved elsewhere.	Bridge rows own evidence production only; feature/scenario rows own behavior.	Matrix fixture stages Anomaly pawn kinds and activity/dormancy requests, reports vanilla threat state, attack-mode attraction, and reverse hostility under enemies/animals settings, proved the dormant/passive attraction fix, and passed the full 24-row built-in matrix with ticks:60 after the Horaxian additions. Installed PawnKindDef audit covers all non-abstract Anomaly creature/entity/mutant kinds, classifies Researcher out as player scenario content, and adds Horaxian human combat pawn kinds as hostile human DLC controls. Policy-edge fixture separately proves passive/active Nociosphere and FleshmassHeart target classification and 5/30-tick bounded Nociosphere onslaught smoke without putting Nociosphere into the default static matrix; it refreshes ZombieSettings.Values after tick advancement to avoid stale interpolated settings probes. Engagement fixture proves full 24-case pheromone/tracking behavior across all attack modes with both enemiesAttackZombies true and false at ticks:90, plus targeted reverse-attack-disabled detail checks for Gorehulk, Metalhorror, Fingerspike, entity Ghoul, and Horaxian_Gunner. Static RimWorld/Ghoul evidence classifies player ghoul OnlyColonists=false as nominal. Story-smoke fixture covers Horaxian moat, Fleshmass heart plus Gorehulk field, active Nociosphere zombie-heavy field, player ghoul choke mode comparison, and Sightstealer/Revenant invisible-stealth Everything behavior with log-clean cleanup.
BRIDGE.Common	bridge_contract	bridge_tools	generic primitives mapped to all clusters.	Source/BridgeTools/ZombielandBridgeTools.Common.cs;Source/BridgeTools/ZombielandBridgeTools.SemanticWait.cs;Source/ZombieRuntimeActions.cs	not_applicable	not_applicable	generic spawn/read/save/log primitives;zombieland/wait_for_semantic_change;scripts/coverage-inventory.sh --bridge-tools	RimBridgeServer.Annotations ToolAttribute	not_applicable	Provide controlled evidence but avoid owning player behavior directly.	all clusters	J.BRIDGE.TOOLS	SOURCE_AUDIT;BRIDGE_TOOL_REVIEW;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	contract_runtime	resolved	TEST_COVERAGE.md generic primitive note;runtime 2026-05-31 wait_for_semantic_change smoke;source bridge-tool attribute scan 2026-05-31;scripts/coverage-inventory.sh --bridge-tools 2026-06-01	Keep future reusable tick-until-condition and fixture primitives here before adding bespoke scenario contracts.	Bridge rows own evidence production only; feature/scenario rows own behavior.	Generic primitive family includes `wait_for_semantic_change`; the current bridge inventory mode also identifies 24 generic primitives across the bridge suite, including `complete_frame_by_id`, so future runtime checks can choose existing spawn/read/log/wait/frame-completion tools before adding narrow contracts.
BRIDGE.Contamination	bridge_contract	bridge_tools	scenario builders and narrow contracts mapped to G.CONTAMINATION.C0_STATE;G.CONTAMINATION.C1_STACKS;G.CONTAMINATION.C2_BUILD_REPLACE;G.CONTAMINATION.C3_WORLD_PRODUCTS;G.CONTAMINATION.C4_ENVIRONMENT;G.CONTAMINATION.C5_PLAYER_EFFECTS;G.CONTAMINATION.C6_UI_QUEST.	Source/BridgeTools/ZombielandBridgeTools.Contamination.cs	not_applicable	not_applicable	zombieland/contamination_*;zombieland/read_contamination_state;zombieland/read_contamination_effect_state	RimBridgeServer.Annotations ToolAttribute	not_applicable	Provide controlled evidence but avoid owning player behavior directly.	G.CONTAMINATION.C0_STATE;G.CONTAMINATION.C1_STACKS;G.CONTAMINATION.C2_BUILD_REPLACE;G.CONTAMINATION.C3_WORLD_PRODUCTS;G.CONTAMINATION.C4_ENVIRONMENT;G.CONTAMINATION.C5_PLAYER_EFFECTS;G.CONTAMINATION.C6_UI_QUEST	J.BRIDGE.TOOLS	SOURCE_AUDIT;BRIDGE_TOOL_REVIEW;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	source_only	resolved	source bridge-tool attribute scan 2026-05-31;TEST_COVERAGE.md	Reviewed classification; retain as evidence production only, and fold future one-off probes into generic primitives or named scenario fixtures when practical.	Bridge rows own evidence production only; feature/scenario rows own behavior.	Reviewed largest family with 47 tools: generic contamination reads/writes plus C0-C6 focused contracts and scenario handoff helpers.
BRIDGE.Core	bridge_contract	bridge_tools	narrow contracts mapped to C.CORE.ZOMBIE_LOOP;A.STARTUP.LOAD.	Source/BridgeTools/ZombielandBridgeTools.Core.cs	not_applicable	not_applicable	zombieland/startup_support_state;zombieland/zombie_ticking_*;zombieland/get_status;zombieland/create_sos_space_map_fixture	RimBridgeServer.Annotations ToolAttribute	not_applicable	Provide controlled evidence but avoid owning player behavior directly.	C.CORE.ZOMBIE_LOOP;A.STARTUP.LOAD;K.OPTIONAL.INTEGRATIONS	J.BRIDGE.TOOLS	SOURCE_AUDIT;BRIDGE_TOOL_REVIEW;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	contract_runtime	resolved	source bridge-tool attribute scan 2026-05-31;TEST_COVERAGE.md;EV.RUNTIME.SOS2.SPACE_FLOATERS;scripts/coverage-inventory.sh --bridge-summary 2026-06-01	Reviewed classification; retain as evidence production only, and fold future one-off probes into generic primitives or named scenario fixtures when practical. The SoS2 space fixture is retained because it covers a named optional-integration scenario cluster and creates a reusable save fixture.	Bridge rows own evidence production only; feature/scenario rows own behavior.	Reviewed semantic family with 21 tools mixing reusable fixtures, live status, startup support, sound recorder, visual lineup helpers, and the ticking-budget tools split out of the physical FogAndIncidents file. `get_status` now reports map biome and compact SoS floater readiness, and `create_sos_space_map_fixture` creates the named SoS2 orbiting-map fixture used by EV.RUNTIME.SOS2.SPACE_FLOATERS.
BRIDGE.CorpsesAndAvoidance	bridge_contract	bridge_tools	narrow contracts mapped to I.INFECTION.MEDICAL;D.PATHING.DOOR_AVOIDANCE.	Source/BridgeTools/ZombielandBridgeTools.CorpsesAndAvoidance.cs	not_applicable	not_applicable	zombieland/zombie_corpse_*;zombieland/colonist_avoidance_*	RimBridgeServer.Annotations ToolAttribute	not_applicable	Provide controlled evidence but avoid owning player behavior directly.	I.INFECTION.MEDICAL;D.PATHING.DOOR_AVOIDANCE	J.BRIDGE.TOOLS	SOURCE_AUDIT;BRIDGE_TOOL_REVIEW;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	source_only	resolved	source bridge-tool attribute scan 2026-05-31;TEST_COVERAGE.md	Reviewed classification; retain as evidence production only, and fold future one-off probes into generic primitives or named scenario fixtures when practical.	Bridge rows own evidence production only; feature/scenario rows own behavior.	Reviewed family with 13 tools covering corpse conversion, serum/double-tap, avoid-grid, door and selection/filter contracts.
BRIDGE.DefenseRoom	bridge_contract	bridge_tools	scenario builder mapped to J.BUILDINGS.ITEMS;D.PATHING.DOOR_AVOIDANCE.	Source/BridgeTools/ZombielandBridgeTools.DefenseRoom.cs	not_applicable	not_applicable	zombieland/defense_room_state	RimBridgeServer.Annotations ToolAttribute	not_applicable	Provide controlled evidence but avoid owning player behavior directly.	J.BUILDINGS.ITEMS;D.PATHING.DOOR_AVOIDANCE	J.BRIDGE.TOOLS	SOURCE_AUDIT;BRIDGE_TOOL_REVIEW;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	source_only	resolved	source bridge-tool attribute scan 2026-05-31;TEST_COVERAGE.md	Reviewed classification; retain as evidence production only, and fold future one-off probes into generic primitives or named scenario fixtures when practical.	Bridge rows own evidence production only; feature/scenario rows own behavior.	Reviewed single-tool scenario builder for defense-room power, items, wall/door pressure, gizmos and save-load evidence.
BRIDGE.Eating	bridge_contract	bridge_tools	narrow contracts mapped to C.CORE.ZOMBIE_LOOP;I.INFECTION.MEDICAL.	Source/BridgeTools/ZombielandBridgeTools.Eating.cs	not_applicable	not_applicable	zombieland/zombie_eats_downed_pawn_contract;zombieland/eating_*	RimBridgeServer.Annotations ToolAttribute	not_applicable	Provide controlled evidence but avoid owning player behavior directly.	C.CORE.ZOMBIE_LOOP;I.INFECTION.MEDICAL	J.BRIDGE.TOOLS	SOURCE_AUDIT;BRIDGE_TOOL_REVIEW;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	source_only	resolved	source bridge-tool attribute scan 2026-05-31;TEST_COVERAGE.md	Reviewed classification; retain as evidence production only, and fold future one-off probes into generic primitives or named scenario fixtures when practical.	Bridge rows own evidence production only; feature/scenario rows own behavior.	Reviewed two focused eating contracts for downed-pawn and corpse paths.
BRIDGE.Environment	bridge_contract	bridge_tools	narrow contracts mapped to C.CORE.ZOMBIE_LOOP;G.CONTAMINATION.C4_ENVIRONMENT.	Source/BridgeTools/ZombielandBridgeTools.Environment.cs	not_applicable	not_applicable	zombieland/ambient_temperature_contract;environment contracts	RimBridgeServer.Annotations ToolAttribute	not_applicable	Provide controlled evidence but avoid owning player behavior directly.	C.CORE.ZOMBIE_LOOP;G.CONTAMINATION.C4_ENVIRONMENT	J.BRIDGE.TOOLS	SOURCE_AUDIT;BRIDGE_TOOL_REVIEW;CONTRACT_RUNTIME;SCENARIO_RUNTIME;LOG_CLEAN	source_only	resolved	source bridge-tool attribute scan 2026-05-31;TEST_COVERAGE.md	Reviewed classification; retain as evidence production only, and fold future one-off probes into generic primitives or named scenario fixtures when practical.	Bridge rows own evidence production only; feature/scenario rows own behavior.	Reviewed family with 12 tools covering fire, tar slime, temperature, clamor/log/record suppression and blood filth.
